PILLAR / INDICATOR,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Overall Score,24.9096,28.4199,28.7606,39.6439,0.0000,39.8400,40.5636,33.4767,29.7186,37.0203,36.3552
Economic Dynamism,5.9961,8.7431,8.7545,6.0209,0.0000,5.1038,5.6861,6.3150,4.4593,5.1482,4.9055
Government Efficiency,12.6297,12.7616,9.4317,10.0495,0.0000,10.2878,10.5536,8.0205,7.1111,9.3779,8.9808
Infrastructure,6.2839,6.9151,10.5744,7.3627,0.0000,7.9321,7.4444,7.2789,3.2838,3.9638,3.5670
Resiliency,-,-,-,16.2108,0.0000,16.5163,16.8795,11.8623,11.2937,11.4688,11.4824
Innovation,-,-,-,-,-,-,-,-,3.5707,7.0616,7.4195
Local Economy Size,0.0422,0.4142,0.4210,0.0295,0.3065,0.0423,0.0295,0.0901,0.0243,0.0538,0.0272
Local Economy Growth,0.2515,0.0082,0.0716,0.0080,0.7574,0.0003,0.3295,0.0027,0.0000,0.0029,0.0010
Active Establishments in the Locality,-,-,-,0.3332,0.8622,0.4734,0.6549,0.6596,0.0000,0.6445,0.5766
Safety Compliant Business,-,-,-,0.4969,0.6789,0.4008,0.3806,0.5363,0.0000,0.3940,0.3241
Employment Generation,0.0000,0.1933,0.2882,0.1428,0.1674,0.2807,0.2487,0.2477,0.1574,0.2567,0.2520
Cost of Living,3.6877,3.2461,3.5000,2.0608,1.8981,1.3492,1.3362,1.3750,1.8894,1.3095,1.4747
Cost of Doing Business,0.3154,2.9968,2.8025,1.9113,1.8740,1.8910,1.8826,2.2336,1.8143,1.4180,1.3345
Financial Deepening,1.6993,1.6114,1.4946,0.8838,0.1418,0.5905,0.4453,0.7242,0.4343,0.8226,0.6132
Productivity,0.0000,0.0000,0.0007,0.0321,0.0086,0.0040,0.2072,0.2825,0.1340,0.2042,0.1651
Presence of Business and Professional Organizations,0.0000,0.2730,0.1759,0.1225,0.0940,0.0716,0.1715,0.1633,0.0056,0.0420,0.1371
Compliance to National Directives,2.0833,2.0833,2.1228,2.0513,0.0000,2.0000,2.1212,1.7857,1.7500,1.8696,1.9600
Presence of Investment Promotion Unit,0.0000,0.0000,0.8333,0.6250,0.0000,1.2500,1.8750,1.2500,1.8206,1.8719,1.7858
Compliance to ARTA Citizens Charter,-,2.7575,1.8515,2.2135,0.0000,2.2124,2.2828,1.7692,2.0000,2.0000,2.0000
Capacity to Generate Local Resource,0.3082,0.3297,1.7126,1.3282,0.0000,0.3022,0.3637,0.0392,0.0136,0.0723,0.1032
Capacity of Health Services,0.0643,0.2375,0.5855,0.4909,0.0000,0.5202,0.0869,0.1092,0.0049,0.3000,0.3204
Capacity of School Services,0.0000,0.6250,0.2980,0.2637,0.0000,0.5665,0.4641,0.1360,0.0219,0.3462,0.2210
