Reference No,Project Title,Contractor,ABC,Contract Price,noa_link,ntp_link,contract_link
24-GOODS-02,"Supply and Delivery of T-Shirt and Polo Shirt for Sectoral Women on Women's Month, Los Baños, Laguna",Anglowealth Enterprises,893050.0,819695.0,public/storage/notice_of_awards/NOA_1723008804.pdf,public/storage/notice_to_proceed/NTP_1723008877.pdf,public/storage/bidcontract/CONTRACT_1723008920.pdf
24-GOODS-03,"Supply and Delivery of Food and Non-Food Supplies for Kapihan sa Bagong Los Baños, Los Baños, Laguna",2428 Grocers Corporation,592800.0,589837.5,public/storage/notice_of_awards/NOA_1723009183.pdf,public/storage/notice_to_proceed/NTP_1723009207.pdf,public/storage/bidcontract/CONTRACT_1723009242.pdf
24-GOODS-05,"Supply and Delivery of Drugs and Medicines for Municipal Health Office, Los Baños, Laguna",Seammed Pharma,507000.0,357325.0,public/storage/notice_of_awards/NOA_1723013250.pdf,public/storage/notice_to_proceed/NTP_1723013306.pdf,public/storage/bidcontract/CONTRACT_1723013281.pdf
24-GOODS-07,"Supply and Delivery of Anti-Rabies Vaccine for Municipal Agriculture's Office, Los Baños, Laguna",Aldrug Distributor,325000.0,189000.0,public/storage/notice_of_awards/NOA_1723009348.pdf,public/storage/notice_to_proceed/NTP_1723009386.pdf,public/storage/bidcontract/CONTRACT_1723009782.pdf
24-GOODS-08,"Supply and Delivery of Drugs and Medicines for 1st Qtr. 2024, Los Baños, Laguna",Seammed Pharma,821775.0,436756.0,public/storage/notice_of_awards/NOA_1723013443.pdf,public/storage/notice_to_proceed/NTP_1723013507.pdf,public/storage/bidcontract/CONTRACT_1723013484.pdf
24-GOODS-10,"Supply and Delivery of LED Projectors for District Office and Various Schools, Los Baños, Laguna",Gakken (Philippines) Inc.,808800.0,688885.0,public/storage/notice_of_awards/NOA_1723010083.pdf,public/storage/notice_to_proceed/NTP_1723010118.pdf,public/storage/bidcontract/CONTRACT_1723010144.pdf
24-GOODS-102,"Supply and Delivery of Well-Milled Rice for Municipal Employees' Annual Assembly, Los Baños, Laguna",LOS BAÑOS EMPLOYEES MULTI-PURPOSE COOPERATIVE,973700.0,969955.0,public/storage/notice_of_awards/NOA_1759908857.pdf,public/storage/notice_to_proceed/NTP_1759908824.pdf,public/storage/bidcontract/CONTRACT_1759908874.pdf
24-GOODS-103,"Supply and Delivery of Ham for Municipal Employee's Annual Assembly, Los Baños, Laguna",LOS BAÑOS EMPLOYEES MULTI-PURPOSE COOPERATIVE,449400.0,441910.0,public/storage/notice_of_awards/NOA_1759910447.pdf,public/storage/notice_to_proceed/NTP_1759910431.pdf,public/storage/bidcontract/CONTRACT_1759910509.pdf
24-GOODS-104,"Supply and Delivery of Catering Services for Municipal Employees' Annual Assembly, Los Baños, Laguna",CDLS Homestyle Cooking,411950.0,411201.0,public/storage/notice_of_awards/NOA_1759910766.pdf,public/storage/notice_to_proceed/NTP_1759910748.pdf,public/storage/bidcontract/CONTRACT_1759910783.pdf
24-GOODS-105,"Supply and Delivery of ICT Equipment for DEPED, Los Baños, Laguna",BITSLINK IT SOLUTION,475000.0,398965.0,,public/storage/notice_to_proceed/NTP_1759911204.pdf,
24-GOODS-105,"Supply and Delivery of ICT Equipment for DEPED, Los Baños, Laguna",BITSLINK IT SOLUTIONS,475000.0,398965.0,public/storage/notice_of_awards/NOA_1759911243.pdf,,public/storage/bidcontract/CONTRACT_1759911262.pdf
24-GOODS-107,"Supply and Delivery of Medical Supplies for Ambulatory Clinic, Los Baños, Laguna","LABMATE PHARMA, INC.",696228.0,695780.0,public/storage/notice_of_awards/NOA_1759911370.pdf,public/storage/notice_to_proceed/NTP_1759911354.pdf,public/storage/bidcontract/CONTRACT_1759911412.pdf
24-GOODS-11,"Supply and Delivery of One (1) Unit Police Patrol Vehicle, Los Baños, Laguna","Toyota Santa Rosa, Laguna Inc.",1486000.0,1484000.0,public/storage/notice_of_awards/NOA_1723010274.pdf,public/storage/notice_to_proceed/NTP_1723010688.pdf,public/storage/bidcontract/CONTRACT_1723010714.pdf
24-GOODS-12,"Supply and Delivery of One (1) Unit Rescue Vehicle, Los Baños, Laguna","Toyota Santa Rosa, Laguna Inc.",1486000.0,1484000.0,public/storage/notice_of_awards/NOA_1723010870.pdf,public/storage/notice_to_proceed/NTP_1723010919.pdf,public/storage/bidcontract/CONTRACT_1723010947.pdf
24-GOODS-13,"Provision of Optical Services and Provision of Prescription Glasses of the Municipal Health Office, Los Baños, Laguna",Makiling Medica Drugstore,500000.0,375000.0,public/storage/notice_of_awards/NOA_1723011037.pdf,public/storage/notice_to_proceed/NTP_1723011063.pdf,public/storage/bidcontract/CONTRACT_1723011152.pdf
